PowerColor Hellhound Radeon RX 6600 8GB GDDR6 Black / White
MSI GeForce GTX 1630 AERO ITX 4G OC GeForce GTX 1630 4 GB
Gigabyte GV-R79XTX-24GC-B Radeon RX 7900 XTX 24GB GDDR6 Black
EVGA GeForce GTX 1660 XC Ultra Gaming, 6GB GDDR5, HDB Fan, 06G-P4-1167-KR
Asus Phoenix OC GeForce GTX 1660 Ti 6GB GDDR6 Black / White
